coverage_item,step_levels,subject_exams,canonical_entities,presentation_coverage,finding_coverage,differential_coverage,diagnostic_coverage,treatment_coverage,complication_coverage,keyword_coverage,source_coverage,gap_status
Neuroanatomy,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neurophysiology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Vascular territories,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,1,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Cranial nerves,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,3,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Major tracts,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neuropathology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neuropharmacology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neurogenetics,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neuroimmunology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neuroinfectious disease,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Neuromuscular physiology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
Sleep physiology,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,2,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Acute focal neurologic deficit,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,5,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Headache,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,4,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Seizure,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,11,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,covered
Altered mental status,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,176,modeled,modeled,modeled,modeled,modeled,partial,partial,partially_source_supported or transparent unverified,needs further source-specific expansion
