algorithm_id,name,triggering_presentation_id,clinical_setting,age_context,pregnancy_context,objective,starting_node_id,emergency_status,version,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
ALG-001,Acute chest pain,PRS-001,acute care,all,context dependent,Draft educational pathway.,NODE-001-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-002,Acute dyspnea,PRS-002,acute care,all,context dependent,Draft educational pathway.,NODE-002-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-003,Undifferentiated shock,PRS-003,acute care,all,context dependent,Draft educational pathway.,NODE-003-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-004,Altered mental status,PRS-004,acute care,all,context dependent,Draft educational pathway.,NODE-004-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-005,Acute focal neurologic deficit,PRS-005,acute care,all,context dependent,Draft educational pathway.,NODE-005-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-006,First seizure,PRS-006,acute care,all,context dependent,Draft educational pathway.,NODE-006-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-007,Acute abdominal pain,PRS-007,acute care,all,context dependent,Draft educational pathway.,NODE-007-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-008,Upper gastrointestinal bleeding,PRS-008,acute care,all,context dependent,Draft educational pathway.,NODE-008-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-009,Lower gastrointestinal bleeding,PRS-009,acute care,all,context dependent,Draft educational pathway.,NODE-009-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-010,Acute kidney injury,PRS-010,acute care,all,context dependent,Draft educational pathway.,NODE-010-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-011,Hyperkalemia,PRS-011,acute care,all,context dependent,Draft educational pathway.,NODE-011-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-012,Hyponatremia,PRS-012,acute care,all,context dependent,Draft educational pathway.,NODE-012-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-013,Vaginal bleeding in pregnancy,PRS-013,acute care,all,context dependent,Draft educational pathway.,NODE-013-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-014,Pediatric fever,PRS-014,acute care,all,context dependent,Draft educational pathway.,NODE-014-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-015,Anaphylaxis,PRS-015,acute care,all,context dependent,Draft educational pathway.,NODE-015-START,review required,0.1.0,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
ALG-CARD-001,Undifferentiated acute chest pain,PRS-001,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-001-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-002,STEMI recognition and initial management,PRS-001,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-002-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-003,NSTEMI unstable-angina evaluation,PRS-001,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-003-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-004,Stable narrow-complex tachycardia,PRS-035,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-004-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-005,Unstable tachycardia,PRS-035,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-005-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-006,Regular wide-complex tachycardia,PRS-004,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-006-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-007,Bradycardia with symptoms,PRS-004,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-007-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-008,Atrial fibrillation evaluation and management,PRS-004,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-008-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-009,Syncope evaluation,PRS-004,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-009-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-010,Acute decompensated heart failure,PRS-002,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-010-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-011,Cardiogenic shock,PRS-003,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-011-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
ALG-CARD-012,Suspected aortic dissection,PRS-005,emergency or acute-care education,adult unless pediatric or neonatal title specifies otherwise,consider pregnancy-specific physiology and medication restrictions when relevant,"Teach stabilization, discriminating decisions, safe diagnostic sequencing, escalation, reassessment, consultation, and disposition.",NODE-CARD-012-01,high-acuity pathway,0.2.0,source_checked,needs_medical_review,false,Original educational graph,partially_source_supported,not_requested,index
