treatment_id,name,treatment_type,treatment_category,general_description,mechanism_summary,major_contraindications,monitoring_summary,pregnancy_context,pediatric_context,renal_context,hepatic_context,emergency_role,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
TRT-NEUR-703266E6D90D,Pathogen-directed therapy for cerebral toxoplasmosis,intervention,neurology,Anti-Toxoplasma therapy selected for cerebral toxoplasmosis in an appropriate host.,Targets Toxoplasma gondii with regimen selection guided by the clinical setting.,Allergy cytopenia organ dysfunction and interacting medicines require regimen-specific review.,Monitor clinical response blood counts and organ function according to the selected regimen.,Pregnancy requires specialist regimen selection.,Pediatric regimen selection requires weight and age-specific expertise.,Adjust or select therapy for renal impairment when required.,Review hepatic function and drug interactions when selecting therapy.,urgent,source_checked,needs_medical_review,false,Source-supported cerebral toxoplasmosis treatment record.,partially_source_supported,not_requested,disease_specific
TRT-001,Airway assessment,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-002,Supplemental oxygen,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-003,Intravenous fluids,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-004,Blood product resuscitation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-005,Anticoagulation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-006,Antiplatelet therapy,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-007,Thrombolysis evaluation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-008,Urgent reperfusion,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-009,Rate control,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-010,Rhythm control,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-011,Defibrillation,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
TRT-012,Synchronized cardioversion,intervention,general,Draft educational treatment concept; not dosing guidance.,Draft pending review.,Review required.,Review required.,Review required.,Review required.,Review required.,Review required.,variable,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
