presentation_id,name,concise_definition,emergency_priority,initial_stabilization_summary,key_history_questions,key_exam_focus,initial_test_categories,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
PRS-001,Chest pain,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-002,Dyspnea,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-003,Syncope,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-004,Palpitations,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-005,Fever,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-006,Altered mental status,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-007,Headache,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-008,Focal neurologic deficit,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-009,Seizure,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-010,Abdominal pain,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-011,Nausea and vomiting,Draft educational presentation summary.,2,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-012,Diarrhea,Draft educational presentation summary.,3,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-013,Gastrointestinal bleeding,Draft educational presentation summary.,4,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-014,Jaundice,Draft educational presentation summary.,5,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
PRS-015,Dysuria,Draft educational presentation summary.,1,Assess stability; source status shown with the record.,Draft pending review.,Draft pending review.,Draft pending review.,draft_ai_generated,draft_ai_generated,false,; Source support varies by linked topic.,unverified_ai_generated,not_requested,index
