algorithm_id,title,node_count,decision_node_count,branch_count,terminal_count,linked_diagnostics,linked_treatments,unsafe_path_count,duplicate_fingerprint,near_duplicate_fingerprint,clinically_specific,action_taken
ALG-NEUR-001,Acute focal neurologic deficit,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-002,Suspected acute ischemic stroke,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-003,Suspected intracranial hemorrhage,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-004,Thunderclap headache,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-005,General acute headache evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-006,Altered mental status,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-007,First seizure,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-008,Convulsive status epilepticus,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-009,Suspected nonconvulsive status epilepticus,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-010,Suspected meningitis or encephalitis,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-011,Acute ascending weakness,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-012,Acute neuromuscular respiratory weakness,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-013,Myasthenic crisis,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-014,Acute vertigo,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-015,Acute vision loss,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-016,New diplopia,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-017,Facial weakness,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-018,Syncope versus seizure evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-019,Acute spinal cord compression,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-020,Cauda equina syndrome,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-021,Increased intracranial pressure,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-022,Papilledema evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-023,New cognitive decline,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-024,Delirium evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-025,Parkinsonism evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-026,Pediatric developmental regression,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-027,Neonatal hypotonia,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-028,Migraine treatment selection,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-029,Trigeminal neuralgia evaluation,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
ALG-NEUR-030,Suspected giant cell arteritis,9,3,3,1,condition-specific diagnostic node,condition-specific treatment node,0,false,false,true,"rewritten as a nine-node, three-decision graph"
