disease_id,canonical_name,board_priority,keyword_count,gap,resolution
DIS-NEUR-001,Transient ischemic attack,1,5,,Disease-relevant keyword links added.
DIS-N-0061,Seizure disorder,1,5,,Disease-relevant keyword links added.
DIS-N-0063,Meningitis,1,5,,Disease-relevant keyword links added.
DIS-N-0069,Delirium,2,3,,Disease-relevant keyword links added.
DIS-N-0058,Acute ischemic stroke,1,3,,Disease-relevant keyword links added.
DIS-NEUR-006,Large-vessel occlusion stroke,1,5,,Disease-relevant keyword links added.
DIS-NEUR-007,Lacunar stroke,1,5,,Disease-relevant keyword links added.
DIS-NEUR-008,Watershed infarction,1,5,,Disease-relevant keyword links added.
DIS-NEUR-009,Cardioembolic stroke,1,5,,Disease-relevant keyword links added.
DIS-NEUR-010,Cryptogenic stroke,1,5,,Disease-relevant keyword links added.
DIS-NEUR-011,Cerebral venous sinus thrombosis,1,4,,Disease-relevant keyword links added.
DIS-N-0059,Intracerebral hemorrhage,1,5,,Disease-relevant keyword links added.
DIS-N-0060,Subarachnoid hemorrhage,1,4,,Disease-relevant keyword links added.
DIS-NEUR-014,Epidural hematoma,1,5,,Disease-relevant keyword links added.
DIS-NEUR-015,Subdural hematoma,1,5,,Disease-relevant keyword links added.
DIS-NEUR-016,Intraventricular hemorrhage,1,5,,Disease-relevant keyword links added.
DIS-NEUR-017,Hypertensive cerebral hemorrhage,1,5,,Disease-relevant keyword links added.
DIS-NEUR-018,Cerebral amyloid angiopathy,1,5,,Disease-relevant keyword links added.
DIS-NEUR-019,Carotid artery dissection,1,5,,Disease-relevant keyword links added.
DIS-NEUR-020,Vertebral artery dissection,1,5,,Disease-relevant keyword links added.
DIS-NEUR-021,Carotid artery stenosis,1,5,,Disease-relevant keyword links added.
DIS-NEUR-022,Moyamoya disease,1,5,,Disease-relevant keyword links added.
DIS-NEUR-023,Reversible cerebral vasoconstriction syndrome,1,5,,Disease-relevant keyword links added.
DIS-NEUR-024,Posterior reversible encephalopathy syndrome,1,5,,Disease-relevant keyword links added.
DIS-NEUR-025,Vascular dementia,2,3,,Disease-relevant keyword links added.
DIS-NEUR-026,Middle cerebral artery syndrome,1,5,,Disease-relevant keyword links added.
DIS-NEUR-027,Anterior cerebral artery syndrome,1,5,,Disease-relevant keyword links added.
DIS-NEUR-028,Posterior cerebral artery syndrome,1,5,,Disease-relevant keyword links added.
