finding_localization_id,finding_id,localization_id,laterality,motor_findings,sensory_findings,reflex_findings,cranial_nerve_findings,cortical_signs,clinical_meaning,source_status,ipsilateral_effects,contralateral_effects,face_body_pattern,motor_pattern,sensory_pattern,reflex_pattern,cranial_nerve_pattern,visual_field_pattern,autonomic_pattern,bowel_bladder_pattern,distinguishing_features,commonly_tested
FLOC-NEUR-2B449736CC54,FND-NEUR-ACETYLCHOLINERECEPTO,LOC-NEUR-783678A5C969,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Cerebral cortex in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Cerebral cortex lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Cerebral cortex.,Sensory pattern is interpreted in relation to Cerebral cortex.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Acetylcholine-receptor antibodies is linked to Cerebral cortex only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-4CC23A8B1FAB,FND-NEUR-ACETYLCHOLINERECEPTO,LOC-NEUR-79F12D347BFA,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Nondominant parietal lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Nondominant parietal lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Nondominant parietal lobe.,Sensory pattern is interpreted in relation to Nondominant parietal lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Acetylcholine-receptor antibodies is linked to Nondominant parietal lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-C873270A4841,FND-NEUR-ALBUMINOCYTOLOGICDIS,LOC-NEUR-FRONTALLOBE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Frontal lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Frontal lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Frontal lobe.,Sensory pattern is interpreted in relation to Frontal lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Albuminocytologic dissociation is linked to Frontal lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-02F6D1D1EDD4,FND-NEUR-ALBUMINOCYTOLOGICDIS,LOC-NEUR-870C934FAAF7,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Subthalamic nucleus in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Subthalamic nucleus lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Subthalamic nucleus.,Sensory pattern is interpreted in relation to Subthalamic nucleus.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Albuminocytologic dissociation is linked to Subthalamic nucleus only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-62D529BCEC09,FND-NEUR-7AD18DB6EFB4,LOC-NEUR-BE6898C84397,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Dominant frontal language region in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Dominant frontal language region lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Dominant frontal language region.,Sensory pattern is interpreted in relation to Dominant frontal language region.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Altered mental status is linked to Dominant frontal language region only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-565F3B74E5E2,FND-NEUR-7AD18DB6EFB4,LOC-NEUR-B91A830C65D2,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Cranial-nerve nuclei in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Cranial-nerve nuclei lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Cranial-nerve nuclei.,Sensory pattern is interpreted in relation to Cranial-nerve nuclei.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Altered mental status is linked to Cranial-nerve nuclei only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-858A8E565AE3,FND-NEUR-51AE1C5C7853,LOC-NEUR-PARIETALLOBE,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Parietal lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Parietal lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Parietal lobe.,Sensory pattern is interpreted in relation to Parietal lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Aphasia is linked to Parietal lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-C58BDC856313,FND-NEUR-51AE1C5C7853,LOC-NEUR-63F7DF148700,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Lumbar cord in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Lumbar cord lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Lumbar cord.,Sensory pattern is interpreted in relation to Lumbar cord.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Aphasia is linked to Lumbar cord only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-D750F83E1500,FND-NEUR-AQUAPORIN4ANTIBODIES,LOC-NEUR-D8CAD50D4FAF,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Dominant parietal lobe in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Dominant parietal lobe lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Dominant parietal lobe.,Sensory pattern is interpreted in relation to Dominant parietal lobe.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Aquaporin-4 antibodies is linked to Dominant parietal lobe only as a clinically interpretable lesion-localization clue.,true
FLOC-NEUR-382D3ADD9B2C,FND-NEUR-AQUAPORIN4ANTIBODIES,LOC-NEUR-C54495282657,"ipsilateral, contralateral, or midline according to the lesion",,,,,"Language, neglect, gaze, or visual-field signs suggest cortical involvement.",Supports localization to Hemicord in the appropriate neurologic syndrome.,partially_source_supported,Ipsilateral effects depend on the Hemicord lesion pattern.,Contralateral motor or sensory effects occur when the relevant long tract decussates.,Use face-body dissociation and crossed findings to localize brainstem versus cortical lesions.,Motor pattern is interpreted in relation to Hemicord.,Sensory pattern is interpreted in relation to Hemicord.,Upper versus lower motor neuron reflex pattern is discriminating when applicable.,Cranial-nerve involvement is sought for brainstem and cranial-nerve localizations.,Visual-field pattern is documented when visual pathways are involved.,"Autonomic signs refine brainstem, cord, and peripheral localization.","Bowel or bladder findings increase concern for cord, conus, or cauda localization.",Aquaporin-4 antibodies is linked to Hemicord only as a clinically interpretable lesion-localization clue.,true
