disease_finding_id,disease_id,finding_id,presence,typicality,sensitivity_context,specificity_context,disease_stage,age_context,clinical_meaning,distinguishing_value,commonly_tested,step_levels,subject_exams,source_status,relationship_role
DNF-NEUR-39C3976A8839,DIS-N-0063,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Meningitis.,Meningismus is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-1D11CD076CCA,DIS-N-0063,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Meningitis.,Neutrophilic CSF is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-DAD96D7E9881,DIS-N-0063,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Meningitis.,Lymphocytic CSF is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-D8CA669983B4,DIS-N-0063,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Meningitis.,Low CSF glucose is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-5271C6EC3A07,DIS-N-0063,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Meningitis.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-E6A3E239099A,DIS-N-0063,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Meningitis.,Elevated opening pressure is interpreted against the disease-specific mimics of Meningitis.,condition-specific,condition-specific,"Headache, fever, neck stiffness, and photophobia raise concern for meningeal inflammation; altered consciousness or focal deficit changes testing sequence. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-D577DBB2101F,DIS-N-0069,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Delirium.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Delirium.,condition-specific,condition-specific,Neurofibrillary tangles contributes a defined finding pattern to the explicit Delirium illness script.,The selected Neurofibrillary tangles pattern differentiates Delirium from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-3AA8F4B114B7,DIS-N-0069,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Delirium.,Lewy bodies is interpreted against the disease-specific mimics of Delirium.,condition-specific,condition-specific,Lewy bodies contributes a defined finding pattern to the explicit Delirium illness script.,The selected Lewy bodies pattern differentiates Delirium from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-29ECF744B6AD,DIS-N-0069,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Delirium.,Ventriculomegaly is interpreted against the disease-specific mimics of Delirium.,condition-specific,condition-specific,Ventriculomegaly contributes a defined finding pattern to the explicit Delirium illness script.,The selected Ventriculomegaly pattern differentiates Delirium from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-1E3B208B63C3,DIS-N-0069,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Delirium.,Fluctuating attention is interpreted against the disease-specific mimics of Delirium.,condition-specific,condition-specific,Fluctuating attention contributes a defined finding pattern to the explicit Delirium illness script.,The selected Fluctuating attention pattern differentiates Delirium from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
