disease_id,canonical_name,board_priority,presentation_count,finding_count,keyword_count,diagnostic_count,treatment_count,differential_count,complication_count,localization_count,algorithm_count,source_topic_count,suspected_threshold_generation,suspected_generic_text,clinically_complete,remaining_gaps
DIS-NEUR-001,Transient ischemic attack,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0061,Seizure disorder,1,4,6,5,5,5,7,4,11,0,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0063,Meningitis,1,4,6,5,5,5,14,4,12,4,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0069,Delirium,2,3,4,3,4,4,7,2,8,1,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0058,Acute ischemic stroke,1,4,5,3,6,5,6,4,10,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-006,Large-vessel occlusion stroke,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-007,Lacunar stroke,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-008,Watershed infarction,1,4,5,5,5,5,7,4,10,1,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-009,Cardioembolic stroke,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-010,Cryptogenic stroke,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-011,Cerebral venous sinus thrombosis,1,4,4,4,4,4,13,4,8,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0059,Intracerebral hemorrhage,1,4,6,5,6,5,6,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-N-0060,Subarachnoid hemorrhage,1,4,4,4,4,4,7,4,8,12,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-014,Epidural hematoma,1,4,5,5,5,5,7,4,10,1,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-015,Subdural hematoma,1,4,5,5,5,5,6,4,10,1,1,false,false,true,None; topic-level source support remains transparent.
DIS-NEUR-016,Intraventricular hemorrhage,1,4,6,5,6,5,7,4,12,12,1,false,false,true,None; topic-level source support remains transparent.
