disease_id,canonical_name,keep,merge_candidate,duplicate_of,rename_needed,missing_presentations,missing_findings,missing_keywords,missing_diagnostics,missing_treatments,missing_complications,source_status_problem,relationship_problem,priority,action_taken
DIS-NEUR-001,Transient ischemic attack,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0061,Seizure disorder,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0063,Meningitis,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0069,Delirium,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,2,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0058,Acute ischemic stroke,true,false,,false,0,0,3,0,0,0,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-006,Large-vessel occlusion stroke,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-007,Lacunar stroke,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-008,Watershed infarction,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-009,Cardioembolic stroke,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-010,Cryptogenic stroke,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-011,Cerebral venous sinus thrombosis,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0059,Intracerebral hemorrhage,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0060,Subarachnoid hemorrhage,true,false,,false,0,0,1,0,0,0,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-014,Epidural hematoma,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-015,Subdural hematoma,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-016,Intraventricular hemorrhage,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-017,Hypertensive cerebral hemorrhage,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-018,Cerebral amyloid angiopathy,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-019,Carotid artery dissection,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-020,Vertebral artery dissection,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-021,Carotid artery stenosis,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-022,Moyamoya disease,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-023,Reversible cerebral vasoconstriction syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-024,Posterior reversible encephalopathy syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-025,Vascular dementia,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,2,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-026,Middle cerebral artery syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-027,Anterior cerebral artery syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-028,Posterior cerebral artery syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-029,Basilar artery syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-030,Lateral medullary syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-031,Medial medullary syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-032,Locked-in syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-033,Pure motor lacunar syndrome,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-034,First unprovoked seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-035,Focal aware seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-036,Focal impaired-awareness seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-037,Focal to bilateral tonic-clonic seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-038,Generalized tonic-clonic seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-039,Absence seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-040,Myoclonic seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-041,Atonic seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-042,Infantile spasms,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-P-0113,Febrile seizure,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-N-0062,Status epilepticus,true,false,,false,0,0,3,0,0,0,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-045,Nonconvulsive status epilepticus,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
DIS-NEUR-046,Psychogenic nonepileptic seizures,true,false,,false,0,0,3,0,0,1,topic-level sources remain partial,none,1,"Expanded presentations, findings, diagnostics, treatments, and directional differentials; remaining gaps are reported transparently."
